run_accession	sample_title
ERR1073316	10317.000004833
ERR1073317	10317.000004847
ERR1073318	10317.000004858
ERR1073319	10317.000004859
ERR1073320	10317.000004860
ERR1073321	10317.000004864
ERR1073322	10317.000004872
ERR1073323	10317.000004881
ERR1073324	10317.000004890
ERR1073325	10317.000004891
ERR1073326	10317.000004894
ERR1073327	10317.000004915
ERR1073328	10317.000004916
ERR1073329	10317.000004917
ERR1073330	10317.000004926
ERR1073331	10317.000004951
ERR1073332	10317.000004952
ERR1073333	10317.000004979
ERR1073334	10317.000004980
ERR1073335	10317.000005015
ERR1073336	10317.000005016
ERR1073337	10317.000005017
ERR1073338	10317.000005031
ERR1073339	10317.000005032
ERR1073340	10317.000005033
ERR1073341	10317.000005034
ERR1073342	10317.000005035
ERR1073343	10317.000005036
ERR1073344	10317.000005037
ERR1073345	10317.000005039
ERR1073346	10317.000005068
ERR1073347	10317.000005073
ERR1073348	10317.000005080
ERR1073349	10317.000005085
ERR1073350	10317.000005163
ERR1073351	10317.000005223
ERR1073352	10317.000005238
ERR1073353	10317.000005263
ERR1073354	10317.000005293
ERR1073355	10317.000005360
ERR1073356	10317.000005433
ERR1073357	10317.000005554
ERR1073358	10317.000005571
ERR1073359	10317.000005576
ERR1073360	10317.000005648
ERR1073361	10317.000005653
ERR1073362	10317.000005655
ERR1073363	10317.000005660
ERR1073364	10317.000005755
ERR1073365	10317.000005756
ERR1073366	10317.000005776
ERR1073367	10317.000005780
ERR1073368	10317.000005784
ERR1073369	10317.000005792
ERR1073370	10317.000005799
ERR1073371	10317.000005811
ERR1073372	10317.000005824
ERR1073373	10317.000005825
ERR1073374	10317.000005834
ERR1073375	10317.000005840
ERR1073376	10317.000005841
ERR1073377	10317.000005849
ERR1073378	10317.000005850
ERR1073379	10317.000005884
ERR1073380	10317.000005885
ERR1073381	10317.000005902
ERR1073382	10317.000005903
ERR1073383	10317.000005910
ERR1073384	10317.000005916
ERR1073385	10317.000005938
ERR1073386	10317.000005945
ERR1073387	10317.000005954
ERR1073388	10317.000008949A
ERR1073389	10317.000008949B
ERR1073390	10317.000008950A
ERR1073391	10317.000008950B
ERR1073392	10317.000008951A
ERR1073393	10317.000008951B
ERR1073394	10317.000008952A
ERR1073395	10317.000008952B
ERR1073396	10317.000008953A
ERR1073397	10317.000008953B
ERR1073398	10317.000008954A
ERR1073399	10317.000008954B
ERR1073400	10317.000008957A
ERR1073401	10317.000008957B
ERR1073402	10317.000008959A
ERR1073403	10317.000008959B
ERR1073404	10317.Blank8.H8.r2
ERR1073439	10317.000001001
ERR1073440	10317.000001161
ERR1073441	10317.000001164
ERR1073442	10317.000001232
ERR1073443	10317.000001240
ERR1073444	10317.000001243
ERR1073445	10317.000001378
ERR1073446	10317.000001534
ERR1073447	10317.000001600
ERR1073448	10317.000001671
ERR1073449	10317.000001787
ERR1073450	10317.000001833
ERR1073451	10317.000001907
ERR1073452	10317.000001933
ERR1073453	10317.000001970
ERR1073454	10317.000001986
